epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1198.62,0.68983,0.46241,1.06109,0.59019,0.38583,0.40454,0.21452,1.7329,2.28614,1.4198,0.000693305,0.000693305,0.000693305
61,1218.36,0.67681,0.45361,1.05649,0.5767,0.45853,0.47541,0.26784,1.57651,2.25408,1.34354,0.000676802,0.000676802,0.000676802
62,1237.88,0.70268,0.4316,1.07255,0.64665,0.44482,0.52905,0.32938,1.33878,2.08718,1.21394,0.000660299,0.000660299,0.000660299
63,1257.67,0.65084,0.41672,1.03468,0.57723,0.46088,0.52639,0.33956,1.35056,2.05294,1.2464,0.000643795,0.000643795,0.000643795
64,1277.31,0.64814,0.43284,1.04419,0.65889,0.49511,0.54706,0.31619,1.60984,1.88396,1.36699,0.000627292,0.000627292,0.000627292
65,1296.44,0.6617,0.42826,1.04602,0.56941,0.53035,0.56404,0.3631,1.48567,1.77876,1.30239,0.000610789,0.000610789,0.000610789
66,1315.72,0.65185,0.4169,1.04893,0.65904,0.46539,0.51327,0.3424,1.41497,2.26754,1.26079,0.000594286,0.000594286,0.000594286
67,1334.96,0.66005,0.3976,1.02359,0.63065,0.55064,0.57688,0.3489,1.50618,2.00009,1.28708,0.000577782,0.000577782,0.000577782
68,1354.86,0.63538,0.41411,1.03154,0.59444,0.62755,0.63481,0.37386,1.46163,1.64754,1.2353,0.000561279,0.000561279,0.000561279
69,1374.01,0.67129,0.43026,1.05989,0.58365,0.62955,0.64605,0.39504,1.46896,1.44372,1.26045,0.000544776,0.000544776,0.000544776
70,1393.65,0.64501,0.40771,1.03439,0.59246,0.51118,0.53665,0.30542,1.65228,1.94724,1.3627,0.000528272,0.000528272,0.000528272
71,1415.11,0.63981,0.40655,1.02988,0.64575,0.47262,0.52068,0.28181,1.66346,2.06514,1.3831,0.000511769,0.000511769,0.000511769
72,1437.96,0.63965,0.39212,1.02245,0.55632,0.43717,0.44822,0.22235,1.66168,2.33198,1.42654,0.000495266,0.000495266,0.000495266
73,1460.83,0.63636,0.38979,1.03103,0.58861,0.39718,0.45514,0.21966,1.72446,2.52832,1.44352,0.000478762,0.000478762,0.000478762
74,1483.8,0.61038,0.37168,1.02867,0.58307,0.45661,0.51469,0.29029,1.57951,2.19362,1.34037,0.000462259,0.000462259,0.000462259
75,1503.96,0.64107,0.40349,1.04687,0.61642,0.53904,0.59604,0.36406,1.42571,1.9559,1.24909,0.000445756,0.000445756,0.000445756
76,1523.6,0.61704,0.39313,1.03127,0.60651,0.49461,0.54854,0.33093,1.43278,2.07385,1.25951,0.000429253,0.000429253,0.000429253
77,1543.25,0.62683,0.38305,1.02334,0.65547,0.46823,0.50762,0.28946,1.54946,2.35642,1.31821,0.000412749,0.000412749,0.000412749
78,1562.52,0.6098,0.38435,1.02095,0.64894,0.46847,0.52577,0.30376,1.52142,2.15011,1.31161,0.000396246,0.000396246,0.000396246
79,1582.43,0.62107,0.37821,1.03476,0.66444,0.4597,0.53413,0.30711,1.58671,2.00569,1.34249,0.000379743,0.000379743,0.000379743
80,1601.69,0.60802,0.37117,1.01952,0.57415,0.43326,0.48438,0.25465,1.89622,2.34591,1.55213,0.000363239,0.000363239,0.000363239
81,1621.14,0.60162,0.37923,1.0134,0.60529,0.49526,0.57859,0.31991,1.71552,2.12772,1.40787,0.000346736,0.000346736,0.000346736
82,1640.51,0.61134,0.37054,1.02336,0.63356,0.53231,0.60113,0.3545,1.44463,1.93815,1.24244,0.000330233,0.000330233,0.000330233
83,1659.92,0.5969,0.37908,1.01393,0.64207,0.49111,0.5383,0.31231,1.58311,2.1543,1.34601,0.000313729,0.000313729,0.000313729
84,1679,0.60062,0.35814,1.01537,0.59521,0.47345,0.50758,0.30588,1.53268,2.15407,1.34173,0.000297226,0.000297226,0.000297226
85,1698.07,0.58143,0.34412,1.00095,0.63657,0.49864,0.53311,0.31655,1.56849,2.11556,1.33909,0.000280723,0.000280723,0.000280723
86,1717.47,0.57111,0.34636,0.99581,0.62116,0.51941,0.59063,0.36008,1.40495,1.95612,1.22908,0.00026422,0.00026422,0.00026422
87,1736.65,0.59606,0.35287,1.01216,0.6931,0.4809,0.58549,0.34726,1.45339,2.10211,1.24836,0.000247716,0.000247716,0.000247716
88,1756.71,0.57587,0.35854,0.99334,0.70191,0.43828,0.52034,0.303,1.6,2.38516,1.37067,0.000231213,0.000231213,0.000231213
89,1776.52,0.57956,0.34836,0.99644,0.70057,0.41816,0.49462,0.27749,1.70109,2.50804,1.49494,0.00021471,0.00021471,0.00021471
90,1796.21,0.56974,0.34012,1.0163,0.68321,0.43796,0.50442,0.27659,1.77067,2.46124,1.52104,0.000198206,0.000198206,0.000198206
91,1815.09,0.48265,0.28806,0.95164,0.66085,0.48355,0.5686,0.31391,1.63263,2.14657,1.4097,0.000181703,0.000181703,0.000181703
92,1833.61,0.48668,0.28303,0.9556,0.67846,0.52703,0.5916,0.33892,1.53452,1.96639,1.32962,0.0001652,0.0001652,0.0001652
93,1853.48,0.5019,0.26894,0.95127,0.70335,0.50839,0.58088,0.33209,1.53993,2.02517,1.32596,0.000148696,0.000148696,0.000148696
94,1873.03,0.47669,0.26185,0.94842,0.72599,0.48672,0.56312,0.32105,1.52758,2.13296,1.33657,0.000132193,0.000132193,0.000132193
95,1891.87,0.47857,0.26051,0.93683,0.72387,0.47807,0.54303,0.32177,1.46605,2.22189,1.29834,0.00011569,0.00011569,0.00011569
96,1910.79,0.46975,0.25487,0.93099,0.70567,0.4693,0.53289,0.30357,1.51326,2.31986,1.33796,9.91865e-05,9.91865e-05,9.91865e-05
97,1929.79,0.45798,0.24526,0.93934,0.72497,0.46041,0.54444,0.31361,1.52811,2.32828,1.3455,8.26832e-05,8.26832e-05,8.26832e-05
98,1948.5,0.45959,0.25155,0.942,0.73975,0.4642,0.54659,0.3165,1.52016,2.30552,1.32939,6.61799e-05,6.61799e-05,6.61799e-05
99,1967.64,0.4492,0.24651,0.93553,0.73841,0.47334,0.55511,0.32885,1.49208,2.26017,1.30442,4.96766e-05,4.96766e-05,4.96766e-05
100,1985.98,0.46594,0.25581,0.92927,0.71465,0.47628,0.55541,0.33545,1.48463,2.24381,1.29695,3.31733e-05,3.31733e-05,3.31733e-05
